posx,posy,posz,velx,vely,velz
3352676.59580067,-15425348.2885194,-2611166.37191919,4423.18898196327,582.532560442323,2237.98629120315
3357099.62157862,-15424765.005413,-2608928.25861177,4422.86250249742,584.033643069153,2238.24028681365
3361522.32066224,-15424180.2212523,-2606689.89141764,4422.53559262263,585.534668861102,2238.49406461078
3365944.69262046,-15423593.9360944,-2604451.27055463,4422.20825237076,587.035637671905,2238.74762456984
3370366.73702359,-15423006.1499961,-2602212.39624059,4421.88048177362,588.536549355693,2239.00096666616
3374788.45344062,-15422416.8630148,-2599973.2686934,4421.55228086314,590.037403766206,2239.25409087509
3379209.84144193,-15421826.0752078,-2597733.88813095,4421.22364967123,591.538200757584,2239.50699717199
3383630.90059625,-15421233.7866326,-2595494.25477117,4420.89458822991,593.038940183488,2239.75968553225
3388051.63047504,-15420639.9973467,-2593254.36883201,4420.56509657114,594.539621898365,2240.01215593128
3392472.03064604,-15420044.7074082,-2591014.23053144,4420.23517472707,596.040245755582,2240.26440834452
3396892.10068116,-15419447.9168746,-2588773.84008747,4419.90482272971,597.540811609704,2240.51644274741
3401311.84014854,-15418849.6258044,-2586533.1977181,4419.57404061128,599.041319314207,2240.76825911542
3405731.24861907,-15418249.8342555,-2584292.30364139,4419.24282840394,600.541768723362,2241.01985742407
3410150.32566204,-15417648.5422865,-2582051.15807542,4418.91118613994,602.042159690965,2241.27123764884
3414569.07084772,-15417045.7499558,-2579809.76123827,4418.57911385154,603.542492071098,2241.5223997653
3418987.48374612,-15416441.4573221,-2577568.11334807,4418.24661157105,605.04276571776,2241.77334374898
3423405.5639276,-15415835.6644441,-2575326.21462296,4417.91367933083,606.54298048505,2242.02406957549
3427823.31096152,-15415228.3713809,-2573084.06528112,4417.5803171633,608.043136226774,2242.2745772204
3432240.72441867,-15414619.5781914,-2570841.66554073,4417.24652510086,609.543232797151,2242.52486665935
3436657.80386848,-15414009.2849351,-2568599.01562001,4416.91230317604,611.043270049994,2242.77493786798
3441074.54888179,-15413397.4916712,-2566356.11573722,4416.57765142133,612.543247839531,2243.02479082195
3445490.95902811,-15412784.1984594,-2564112.9661106,4416.24256986932,614.043166019594,2243.27442549695
3449907.03387833,-15412169.4053592,-2561869.56695846,4415.90705855259,615.543024444411,2243.52384186869
3454322.77300203,-15411553.1124305,-2559625.91849911,4415.57111750382,617.042822967836,2243.77303991289
3458738.17597015,-15410935.3197333,-2557382.02095089,4415.23474675568,618.542561444104,2244.02201960531
3463153.24235203,-15410316.0273279,-2555137.87453216,4414.89794634093,620.042239726982,2244.27078092171
3467567.97171968,-15409695.235274,-2552893.47946132,4414.5607162923,621.541857671014,2244.51932383789
3471982.36364146,-15409072.9436328,-2550648.83595677,4414.22305664267,623.041415129681,2244.76764832965
3476396.41768982,-15408449.1524641,-2548403.94423695,4413.88496742483,624.540911957637,2245.01575437284
3480810.13343351,-15407823.8618291,-2546158.80452032,4413.54644867174,626.040348008475,2245.26364194331
3485223.51044405,-15407197.0717884,-2543913.41702537,4413.2075004163,627.539723136572,2245.51131101693
3489636.54829125,-15406568.7824033,-2541667.7819706,4412.86812269153,629.039037195819,2245.75876156961
3494049.24654599,-15405938.9937346,-2539421.89957455,4412.52831553044,630.538290040406,2246.00599357726
3498461.60477887,-15405307.7058438,-2537175.77005577,4412.1880789661,632.037481524435,2246.25300701583
3502873.62256085,-15404674.9187921,-2534929.39363285,4411.84741303161,633.536611502117,2246.49980186127
3507285.29946189,-15404040.6326414,-2532682.77052439,4411.50631776013,635.035679827366,2246.74637808958
3511696.63505333,-15403404.8474532,-2530435.90094903,4411.16479318485,636.534686354491,2246.99273567675
3516107.62890521,-15402767.5632894,-2528188.7851254,4410.82283933902,638.033630937426,2247.23887459881
3520518.28058897,-15402128.7802121,-2525941.42327219,4410.48045625589,639.532513430495,2247.4847948318
3524928.5896747,-15401488.4982834,-2523693.81560811,4410.13764396881,641.031333687641,2247.7304963518
3529338.55573357,-15400846.7175656,-2521445.96235187,4409.79440251112,642.530091563109,2247.9759791349
3533748.17833673,-15400203.4381212,-2519197.86372223,4409.45073191621,644.028786911138,2248.2212431572
3538157.45705441,-15399558.6600128,-2516949.51993796,4409.10663221757,645.527419585693,2248.46628839485
3542566.39145784,-15398912.3833031,-2514700.93121785,4408.76210344865,647.025989441028,2248.71111482398
3546974.98111835,-15398264.608055,-2512452.09778073,4408.41714564297,648.524496331417,2248.95572242078
3551383.22560618,-15397615.3343315,-2510203.01984543,4408.07175883413,650.022940110826,2249.20011116145
3555791.12449273,-15396964.562196,-2507953.69763084,4407.72594305573,651.521320633542,2249.44428102219
