"Time (EpSec)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
0.000,-2570.747612,-4617.775612,3558.421150,-0.002270,-0.000058,-0.001700
0.116,-2570.747891,-4617.775618,3558.420942,-0.002535,-0.000058,-0.001895
0.316,-2570.748444,-4617.775631,3558.420529,-0.002989,-0.000069,-0.002234
0.516,-2570.749087,-4617.775646,3558.420048,-0.003443,-0.000079,-0.002574
0.716,-2570.749821,-4617.775662,3558.419499,-0.003898,-0.000090,-0.002913
0.916,-2570.750646,-4617.775681,3558.418882,-0.004352,-0.000100,-0.003253
1.000,-2570.751019,-4617.775690,3558.418603,-0.004543,-0.000104,-0.003396
1.116,-2570.751562,-4617.775702,3558.418197,-0.004806,-0.000111,-0.003593
1.316,-2570.752568,-4617.775725,3558.417445,-0.005261,-0.000121,-0.003932
1.516,-2570.753666,-4617.775750,3558.416624,-0.005715,-0.000131,-0.004271
1.716,-2570.754854,-4617.775777,3558.415735,-0.006170,-0.000142,-0.004611
1.916,-2570.756133,-4617.775807,3558.414779,-0.006624,-0.000152,-0.004951
2.116,-2570.757504,-4617.775838,3558.413755,-0.007078,-0.000163,-0.005290
2.316,-2570.758965,-4617.775871,3558.412662,-0.007533,-0.000173,-0.005630
2.516,-2570.760516,-4617.775907,3558.411502,-0.007987,-0.000184,-0.005970
2.716,-2570.762159,-4617.775944,3558.410274,-0.008441,-0.000196,-0.006309
2.916,-2570.763893,-4617.775984,3558.408977,-0.008895,-0.000205,-0.006648
3.116,-2570.765717,-4617.776026,3558.407613,-0.009350,-0.000217,-0.006988
3.316,-2570.767632,-4617.776069,3558.406181,-0.009804,-0.000226,-0.007328
3.516,-2570.769638,-4617.776115,3558.404681,-0.010259,-0.000238,-0.007666
3.716,-2570.771735,-4617.776163,3558.403113,-0.010713,-0.000247,-0.008006
3.916,-2570.773923,-4617.776213,3558.401478,-0.011167,-0.000258,-0.008346
4.116,-2570.776202,-4617.776265,3558.399774,-0.011621,-0.000268,-0.008686
4.316,-2570.778571,-4617.776319,3558.398002,-0.012075,-0.000280,-0.009026
4.516,-2570.781031,-4617.776376,3558.396162,-0.012530,-0.000289,-0.009365
4.716,-2570.783583,-4617.776434,3558.394255,-0.012984,-0.000300,-0.009704
